Country,Capital,Continent Group
Morocco,Rabat,Africa
Algeria,Algiers,Africa
Tunisia,Tunis,Africa
Libya,Tripoli,Africa
Egypt,Cairo,Africa
Mauritania,Nouakchott,Africa
Mali,Bamako,Africa
Niger,Niamey,Africa
Chad,N'Djamena,Africa
Sudan,Khartoum,Africa
Eritrea,Asmara,Africa
Djibouti,Djibouti,Africa
Cabo Verde,Praia,Africa
Gambia,Banjul,Africa
Senegal,Dakar,Africa
Guinea-Bissau,Bissau,Africa
Guinea,Conakry,Africa
Sierra Leone,Freetown,Africa
Liberia,Monrovia,Africa
Cote d'Ivoire,Yamoussoukro,Africa
Burkina Faso,Ouagadougou,Africa
Ghana,Accra,Africa
Togo,Lome,Africa
Benin,Porto-Novo,Africa
Nigeria,Abuja,Africa
Cameroon,Yaounde,Africa
Central African Republic,Bangui,Africa
South Sudan,Juba,Africa
Ethiopia,Addis Ababa,Africa
Somalia,Mogadishu,Africa
Sao Tome and Principe,Sao Tome,Africa
Equatorial Guinea,Malabo,Africa
Gabon,Libreville,Africa
Republic of the Congo,Brazzaville,Africa
Democratic Republic of the Congo,Kinshasa,Africa
Rwanda,Kigali,Africa
Uganda,Kampala,Africa
Kenya,Nairobi,Africa
Burundi,Gitega,Africa
Tanzania,Dodoma,Africa
Seychelles,Victoria,Africa
Angola,Luanda,Africa
Zambia,Lusaka,Africa
Malawi,Lilongwe,Africa
Comoros,Moroni,Africa
Namibia,Windhoek,Africa
Botswana,Gaborone,Africa
Zimbabwe,Harare,Africa
Mozambique,Maputo,Africa
Madagascar,Antananarivo,Africa
Mauritius,Port Louis,Africa
South Africa,Pretoria,Africa
Lesotho,Maseru,Africa
Eswatini,Mbabane,Africa
Turkey,Ankara,Asia
Cyprus,Nicosia,Asia
Lebanon,Beirut,Asia
Israel,Jerusalem,Asia
Palestine,East Jerusalem,Asia
Syria,Damascus,Asia
Jordan,Amman,Asia
Georgia,Tbilisi,Asia
Armenia,Yerevan,Asia
Azerbaijan,Baku,Asia
Iraq,Baghdad,Asia
Kuwait,Kuwait City,Asia
Saudi Arabia,Riyadh,Asia
Bahrain,Manama,Asia
Qatar,Doha,Asia
United Arab Emirates,Abu Dhabi,Asia
Yemen,Sana'a,Asia
Oman,Muscat,Asia
Iran,Tehran,Asia
Kazakhstan,Nur-Sultan,Asia
Uzbekistan,Tashkent,Asia
Turkmenistan,Ashgabat,Asia
Kyrgyzstan,Bishkek,Asia
Tajikistan,Dushanbe,Asia
Afghanistan,Kabul,Asia
Pakistan,Islamabad,Asia
India,New Delhi,Asia
Maldives,Male,Asia
Nepal,Kathmandu,Asia
Sri Lanka,Sri Jayawardenepura Kotte,Asia
Bhutan,Thimphu,Asia
Bangladesh,Dhaka,Asia
Mongolia,Ulaanbaatar,Asia
China,Beijing,Asia
Myanmar,Naypyidaw,Asia
Thailand,Bangkok,Asia
Laos,Vientiane,Asia
Cambodia,Phnom Penh,Asia
Vietnam,Hanoi,Asia
Malaysia,Kuala Lumpur,Asia
Singapore,Singapore,Asia
Indonesia,Jakarta,Asia
Brunei,Bandar Seri Begawan,Asia
North Korea,Pyongyang,Asia
South Korea,Seoul,Asia
Taiwan,Taipei,Asia
